2022-01-28 14:25:18.578538 Read holding register for device ID 15 , Start address = 300 Quantity = 24
2022-01-28 14:25:18.633473  * Response 1 from device ID 15 , data = 0
2022-01-28 14:25:18.633473  * Response 2 from device ID 15 , data = 0
2022-01-28 14:25:18.633473  * Response 3 from device ID 15 , data = 128
2022-01-28 14:25:18.633473  * Response 4 from device ID 15 , data = 450
2022-01-28 14:25:18.633473  * Response 5 from device ID 15 , data = 10948
2022-01-28 14:25:18.633473  * Response 6 from device ID 15 , data = 492
2022-01-28 14:25:18.633473  * Response 7 from device ID 15 , data = 0
2022-01-28 14:25:18.633473  * Response 8 from device ID 15 , data = 2503
2022-01-28 14:25:18.633473  * Response 9 from device ID 15 , data = 0
2022-01-28 14:25:18.633473  * Response 10 from device ID 15 , data = 0
2022-01-28 14:25:18.633473  * Response 11 from device ID 15 , data = 2056
2022-01-28 14:25:18.633473  * Response 12 from device ID 15 , data = 0
2022-01-28 14:25:18.633473  * Response 13 from device ID 15 , data = 10
2022-01-28 14:25:18.633473  * Response 14 from device ID 15 , data = 30
2022-01-28 14:25:18.633473  * Response 15 from device ID 15 , data = 0
2022-01-28 14:25:18.633473  * Response 16 from device ID 15 , data = 0
2022-01-28 14:25:18.633473  * Response 17 from device ID 15 , data = 16
2022-01-28 14:25:18.633473  * Response 18 from device ID 15 , data = 22595
2022-01-28 14:25:18.633473  * Response 19 from device ID 15 , data = 0
2022-01-28 14:25:18.633473  * Response 20 from device ID 15 , data = 0
2022-01-28 14:25:18.633473  * Response 21 from device ID 15 , data = 13
2022-01-28 14:25:18.633473  * Response 22 from device ID 15 , data = 52064
2022-01-28 14:25:18.633473  * Response 23 from device ID 15 , data = 50
2022-01-28 14:25:18.633473  * Response 24 from device ID 15 , data = 9900
2022-01-28 14:25:23.578886 Read holding register for device ID 15 , Start address = 300 Quantity = 24
2022-01-28 14:25:23.632680  * Response 1 from device ID 15 , data = 0
2022-01-28 14:25:23.632680  * Response 2 from device ID 15 , data = 0
2022-01-28 14:25:23.632680  * Response 3 from device ID 15 , data = 128
2022-01-28 14:25:23.632680  * Response 4 from device ID 15 , data = 450
2022-01-28 14:25:23.632680  * Response 5 from device ID 15 , data = 10948
2022-01-28 14:25:23.632680  * Response 6 from device ID 15 , data = 492
2022-01-28 14:25:23.632680  * Response 7 from device ID 15 , data = 0
2022-01-28 14:25:23.632680  * Response 8 from device ID 15 , data = 2503
2022-01-28 14:25:23.632680  * Response 9 from device ID 15 , data = 0
2022-01-28 14:25:23.632680  * Response 10 from device ID 15 , data = 0
2022-01-28 14:25:23.632680  * Response 11 from device ID 15 , data = 2056
2022-01-28 14:25:23.632680  * Response 12 from device ID 15 , data = 0
2022-01-28 14:25:23.632680  * Response 13 from device ID 15 , data = 10
